"atoll_schema","site_version","site_name","fuze_site_id","site_record_id","latitude_degrees","longitude_degrees","street_address","city","county","state","zip_code","sector","azimuth","antenna_model","antenna_manufacturer","antenna_max_gain","antenna_centerline","lte_market","enodeb_id","max_power","main_propagation_model","radio_manufacturer","radio_model","extended_calculation_radius","enodeb_eutrancellfdd","channel_number","pci","antenna_h_bw","mechanical_tilt","electrical_tilt","ret","altitude_amsl","tac","cell_id","technology","band_class","trans_cell_type","site_record_name","site_number","site_code","location_name","fips_county_code","search_ring_id","peoplesoft_location_code","site_on_air_date","c_ran_hub_name","address_description","network_territory","network_market","network_sub_market","network_local_market","site_altitude_amsl","site_surveyed_altitude_amsl","site_support_structure_height","site_structure_type","temporary_site","lra_partner","network_extender_capable","spm_project_id","band_info","channel_bw","combined_cell_code","antenna_latitude","antenna_longitude","number_of_tx_antenna_ports","number_of_rx_antenna_ports","tx_record_id","xmtr_location","duplex_type","coverage_type","threshold","fcc_market_number","sum"
albuquerque,"0000",NM1_PINON,"355471","101508","36.4578",-105.598446,Highway 522 & Blueberry Hill Rd.,Taos,Taos,NM,"87571","3","240",SBNHH-1D85C_PORT 3 - +45_00DT_2155 ,ANDREW,"15.562","37","025","025254","49.5424250943932",WPM_RU_AZNM_15M_AWS_052215_PHO,Nokia,RRH4x45-4R-AWS,"99.99975145152311","025254_3_2","2125","287","81.75","0","0.0","0","7168.6354","6404","32",LTE,AWS,Macro,"0254 NM1_PINON (STA-0000)","0254",STA,NM1_PINON_SOUTHTANK,"35055","","144232","","","",South Central/South East,South Central,Southwest,Albuquerque,"7168.6354","7177.6","41.000001312","",No,None (VZW Owned),Yes,"2058107",B4_15MHz_2125,"15","025","36.4578",-105.598446,"2","4","104953",,,,,,8.263681188774676E8
albuquerque,"0000",LSC_HILLRISE_ENB2,"676486","101524","32.305697",-106.738075,"2912 Idaho Ave",Las Cruces,Dona Ana,NM,"88011","1","240",HTXCW631619R000-T09-700 ,AMPHENOL,"13.3","38","026","026424","47.7815125038364",WPM_SU_LCR_ELP_TALL_700_083016_ALB,Nokia,UHBC B13 TRDU 2x40,"29.999801161218485","026424_1","5230","165","71","5","9.0","9","4140.42008","6658","1",LTE,"700",Macro,"0424 LSC_HILLRISE_ENB2 (STA-0000)","0424",STA,LSC_HILLRISE,"35013","","166814","09/08/2016","","",South Central/South East,South Central,Southwest,El Paso,"4140.42008","4189","45.01152478286284","",No,None (VZW Owned),Yes,"",B13_10MHz_5230,"10","6","32.305697",-106.738075,"2","2","104954",,,,,,2.184412279416643E8
albuquerque,"000x",NM6_HOBB-TIME,"1452362","102666","32.710036",-103.137736,"915 N Shipp St",Hobbs,Lea,NM,"88240","1","0",HEX658CW0000X-T05-1900-(+45)-BLUE ,AMPHENOL,"14.8","100","026","026637","44.7712125471966",WPM_SU_NM_15M_AWS_052215_ALB,Nokia,"2x40AWS","29.999801161218485","026637_1_4","700","138","68.5","2","5.0","1","3638.45156","6659","14",LTE,PCS,Macro,"0637 NM6_HOBB-TIME (STA-000x)","0637",STA,NM6_HOBB_TIME - Alt 1,"35025","","260145","","","",South Central/South East,South Central,Southwest,Albuquerque,"3638.45156","3640","250.000008","",No,None (VZW Owned),Yes,"2431408",B2_10MHz_700,"10","026","32.710036",-103.137736,"4","4","104955",,,,,,8.47621352500914E7
albuquerque,"000X",ELP_HUNTER,"676424","592872","31.761794",-106.363022,"7564 Gateway East",EL Paso,El Paso,TX,"79915","1","50",QS8656-3_746MHZ_02DT_PORT1 ,QUINTEL USA INC,"12.966","78","026","026320","46.0205999132796",WPM_SU_LCR_ELP_TALL_700_083016_ALB,Nokia,UHBA B13 RRH 4x30,"29.999801161218485","026320_1","5230","45","62.25","0","2.0","5","3834.14054264","6657","1",LTE,"700",Macro,"0320 ELP_HUNTER (STA-000X)","0320",STA,ELP_HUNTER,"48141","","160013","","","",South Central/South East,South Central,Southwest,El Paso,"3834.14054264","3838.3","80.00000256","",No,None (VZW Owned),Yes,"15368029",B13_10MHz_5230,"10","026","31.761794",-106.363022,"4","4","104956",,,,,,1.1341056390719076E8
albuquerque,"000x",NM6_HOBB-TIME,"1452362","102666","32.710036",-103.137736,"915 N Shipp St",Hobbs,Lea,NM,"88240","2","120",HEX658CW0000X-T05-1900-(+45)-BLUE ,AMPHENOL,"14.8","100","026","026637","44.7712125471966",WPM_SU_NM_15M_AWS_052215_ALB,Nokia,"2x40AWS","29.999801161218485","026637_2_4","700","139","68.5","4","5.0","2","3638.45156","6659","24",LTE,PCS,Macro,"0637 NM6_HOBB-TIME (STA-000x)","0637",STA,NM6_HOBB_TIME - Alt 1,"35025","","260145","","","",South Central/South East,South Central,Southwest,Albuquerque,"3638.45156","3640","250.000008","",No,None (VZW Owned),Yes,"2431408",B2_10MHz_700,"10","026","32.710036",-103.137736,"4","4","104957",,,,,,5.166032660047168E7
albuquerque,"000X",ELP_HUNTER,"676424","592872","31.761794",-106.363022,"7564 Gateway East",EL Paso,El Paso,TX,"79915","1","50",QS8656-3_2100MHZ_02DT_PORT5 ,QUINTEL USA INC,"15.443","78","026","026320","46.9897000433602",WPM_SU_LCR_ELP_TALL_AWS_083016_ALB,Nokia,UHIE B66A RRH 4x45,"29.999801161218485","026320_1_2","2125","45","62.5","0","2.0","2","3834.14054264","6657","12",LTE,AWS,Macro,"0320 ELP_HUNTER (STA-000X)","0320",STA,ELP_HUNTER,"48141","","160013","","","",South Central/South East,South Central,Southwest,El Paso,"3834.14054264","3838.3","80.00000256","",No,None (VZW Owned),Yes,"15368029",B4_15MHz_2125,"15","026","31.761794",-106.363022,"4","4","104958",,,,,,4.046547253635497E7
albuquerque,"0000",NM3_CERRO,"355421","101443","34.797617",-106.820133,"6mi S of SE Los Lunas, AT&T Road",Los Lunas,Valencia,NM,"87031","1","45",SBNHH-1D85C_PORT 1 - +45_08DT_0752 ,ANDREW,"13.54","120","025","025429","46",WPM_RU_AZNM_15M_700_052215_PHO,"",Unknown,"99.99975145152311","025429_1","5230","285","79.75","7","8.0","8","5439.6819326","6403","1",LTE,"700",Macro,"0429 NM3_CERRO (STA-0000)","0429",STA,NM3_CERRO,"35061","","144255","","","6 Miles S of SE Los Lunas",South Central/South East,South Central,Southwest,Albuquerque,"5439.6819326","5439","231.05916055202906","",No,None (VZW Owned),Yes,"",B13_10MHz_5230,"10","5","34.797617",-106.820133,"2","2","104959",,,,,,1.614895201080246E8
albuquerque,"0000",NM6_ONYX,"985315","100862","33.353914",-104.524059,"3600 S Main Street",Roswell,Chaves,NM,"88201","2","120",QXW-808X80160-DP-EDIN ,AMPHENOL,"16","100","026","026656","47.7815125038364",WPM_SU_NM_15M_AWS_052215_ALB,Nokia,"2x40AWS","29.999801161218485","026656_2_2","2050","202","81","6","0.0","2","3622.04736","6660","22",LTE,AWS,Macro,"0656 NM6_ONYX (STA-0000)","0656",STA,NM6_ONYX - AT&T Comm Roswell East,"35005","","260118","","","",South Central/South East,South Central,Southwest,Albuquerque,"3622.04736","3623.5","197.05045293831049","",No,None (VZW Owned),Yes,"",B4_20MHz_2050,"20","8","33.353914",-104.524059,"2","2","104960",,,,,,2.8722138815543413E8
albuquerque,"0000",NM3_CERRO,"355421","101443","34.797617",-106.820133,"6mi S of SE Los Lunas, AT&T Road",Los Lunas,Valencia,NM,"87031","2","165",SBNHH-1D85C_PORT 1 - +45_08DT_0752 ,ANDREW,"13.54","120","025","025429","46",WPM_RU_AZNM_15M_700_052215_PHO,"",Unknown,"99.99975145152311","025429_2","5230","286","79.75","5","8.0","8","5439.6819326","6403","2",LTE,"700",Macro,"0429 NM3_CERRO (STA-0000)","0429",STA,NM3_CERRO,"35061","","144255","","","6 Miles S of SE Los Lunas",South Central/South East,South Central,Southwest,Albuquerque,"5439.6819326","5439","231.05916055202906","",No,None (VZW Owned),Yes,"",B13_10MHz_5230,"10","5","34.797617",-106.820133,"2","2","104961",,,,,,1.4079153075325537E8
albuquerque,"0000",NM6_ONYX,"985315","100862","33.353914",-104.524059,"3600 S Main Street",Roswell,Chaves,NM,"88201","1","0",QXW-808X80160-DP-EDIN ,AMPHENOL,"16","100","026","026656","47.7815125038364",WPM_SU_NM_15M_AWS_052215_ALB,Nokia,"2x40AWS","29.999801161218485","026656_1_2","2050","201","81","5","0.0","2","3622.04736","6660","12",LTE,AWS,Macro,"0656 NM6_ONYX (STA-0000)","0656",STA,NM6_ONYX - AT&T Comm Roswell East,"35005","","260118","","","",South Central/South East,South Central,Southwest,Albuquerque,"3622.04736","3623.5","197.05045293831049","",No,None (VZW Owned),Yes,"",B4_20MHz_2050,"20","8","33.353914",-104.524059,"2","2","104962",,,,,,4.03237622803072E8
